DATA_DATE,FUELSUP,ENERGY_GWH,TIMESTAMP
11/11/2019 0:00,น้ำมันปาล์ม,0,11/12/2019 13:30
11/12/2019 0:00,น้ำมันปาล์ม,0,11/13/2019 13:30
11/13/2019 0:00,น้ำมันปาล์ม,0,11/14/2019 13:30
11/14/2019 0:00,น้ำมันปาล์ม,0,11/15/2019 13:30
11/15/2019 0:00,น้ำมันปาล์ม,0,11/16/2019 13:30
11/16/2019 0:00,น้ำมันปาล์ม,0,11/17/2019 13:30
11/17/2019 0:00,น้ำมันปาล์ม,0,11/18/2019 13:30
11/18/2019 0:00,น้ำมันปาล์ม,0,11/19/2019 13:30
11/19/2019 0:00,น้ำมันปาล์ม,0,11/20/2019 13:30
11/20/2019 0:00,น้ำมันปาล์ม,0,11/21/2019 13:30
11/21/2019 0:00,น้ำมันปาล์ม,0,11/22/2019 13:30
11/22/2019 0:00,น้ำมันปาล์ม,0,11/23/2019 13:30
11/23/2019 0:00,น้ำมันปาล์ม,0,11/24/2019 13:30
11/24/2019 0:00,น้ำมันปาล์ม,0,11/25/2019 13:30
11/25/2019 0:00,น้ำมันปาล์ม,0,11/26/2019 13:30
11/26/2019 0:00,น้ำมันปาล์ม,0,11/27/2019 13:30
11/27/2019 0:00,น้ำมันปาล์ม,0,11/28/2019 13:30
11/28/2019 0:00,น้ำมันปาล์ม,0,11/29/2019 13:30
11/29/2019 0:00,น้ำมันปาล์ม,0,11/30/2019 13:30
11/30/2019 0:00,น้ำมันปาล์ม,0,12/1/2019 13:30
12/1/2019 0:00,น้ำมันปาล์ม,0,12/2/2019 13:30
12/2/2019 0:00,น้ำมันปาล์ม,0,12/3/2019 13:30
12/3/2019 0:00,น้ำมันปาล์ม,0,12/4/2019 13:30
12/4/2019 0:00,น้ำมันปาล์ม,0,12/5/2019 13:30
12/5/2019 0:00,น้ำมันปาล์ม,0,12/6/2019 13:30
12/6/2019 0:00,น้ำมันปาล์ม,0,12/7/2019 13:30
12/7/2019 0:00,น้ำมันปาล์ม,0,12/8/2019 13:30
12/8/2019 0:00,น้ำมันปาล์ม,0,12/9/2019 13:30
12/9/2019 0:00,น้ำมันปาล์ม,0,12/10/2019 13:30
12/10/2019 0:00,น้ำมันปาล์ม,0,12/11/2019 13:30
12/11/2019 0:00,น้ำมันปาล์ม,0,12/12/2019 13:30
12/12/2019 0:00,น้ำมันปาล์ม,0,12/13/2019 13:30
12/13/2019 0:00,น้ำมันปาล์ม,0,12/14/2019 13:30
12/14/2019 0:00,น้ำมันปาล์ม,0,12/15/2019 13:30
12/15/2019 0:00,น้ำมันปาล์ม,0,12/16/2019 13:30
12/16/2019 0:00,น้ำมันปาล์ม,0,12/17/2019 13:30
12/17/2019 0:00,น้ำมันปาล์ม,0,12/18/2019 13:30
12/18/2019 0:00,น้ำมันปาล์ม,0,12/19/2019 13:30
12/19/2019 0:00,น้ำมันปาล์ม,0,12/20/2019 13:30
12/20/2019 0:00,น้ำมันปาล์ม,0,12/21/2019 13:30
12/21/2019 0:00,น้ำมันปาล์ม,0,12/22/2019 13:30
12/22/2019 0:00,น้ำมันปาล์ม,0,12/23/2019 13:30
12/23/2019 0:00,น้ำมันปาล์ม,0,12/24/2019 13:30
12/24/2019 0:00,น้ำมันปาล์ม,0,12/25/2019 13:30
